"Notes"	"State"	"State Code"	"Year"	"Year Code"	Births
	"Wisconsin"	"55"	"2016"	"2016"	66615
	"Wisconsin"	"55"	"2017"	"2017"	64975
	"Wyoming"	"56"	"2007"	"2007"	7893
	"Wyoming"	"56"	"2008"	"2008"	8038
	"Wyoming"	"56"	"2009"	"2009"	7881
	"Wyoming"	"56"	"2010"	"2010"	7556
	"Wyoming"	"56"	"2011"	"2011"	7399
	"Wyoming"	"56"	"2012"	"2012"	7572
	"Wyoming"	"56"	"2013"	"2013"	7644
	"Wyoming"	"56"	"2014"	"2014"	7696
	"Wyoming"	"56"	"2015"	"2015"	7765
	"Wyoming"	"56"	"2016"	"2016"	7386
	"Wyoming"	"56"	"2017"	"2017"	6903
"---"
"Dataset: Natality, 2007-2017"
"Query Parameters:"
"Group By: State; Year"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 1,000"
"Population Option: No populations shown because rates were not selected."
"---"
"Help: See http://wonder.cdc.gov/wonder/help/Natality.html for more information."
"---"
"Query Date: Sep 13, 2019 2:17:19 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics, Natality public-use data 2007-2017, on CDC"
"WONDER Online Database, October 2018. Accessed at http://wonder.cdc.gov/natality-current.html on Sep 13, 2019 2:17:19 PM"
"---"
Caveats:
"1. Each birth record represents one living baby."
